,10. 10мВт.csv,11. 25мВт.csv,12. 50мВт.csv,17. контроль АЛА+.csv,19. контроль АЛА -.csv,1_1 А контроль АЛА 75мВт.csv,3_1 В 3мВт.csv,3_2 В 5мВт.csv,9. 15мВт.csv
143,5909945.558401895,3235654.81069943,-4057596981.775066,-797903736.3346493,-1322801888.1475804,-2797058110.2261696,29385742.873930592,-48296109.2630353,-1444648256.7191322
144,2631158.429056044,-291532648.20665765,-527108042.1475951,-1996691493.511869,-1322503433.3641667,-1749789851.458808,-2020338188.4745927,15343358.106651517,-1223400956.8101563
145,-4703946.478807215,-63140041.99912005,-623932895.2590646,-1221116893.9466736,-394507771.421091,-1756361881.8344016,-487131898.1978604,-555998365.6873834,17925198.115867052
146,-3521682.596416119,-340799862.1813885,-851856389.6487968,-592934532.9364496,-304632458.26035064,-1041384913.4931436,-301702779.04341584,-569902011.014346,533761957.8522888
147,-12856376.847256957,-143572698.18663222,-1857987483.6678288,-2028518328.3970008,7251127.8972608335,-1005401897.1648486,-965589488.8453976,-1351967292.8556206,-323539610.2865491
148,-38540161.98148313,-164879620.57670674,-7923545125.163922,19289355.30548892,-1377205782.0012496,-69188532.38051514,-292863631.47903734,-727469965.7306728,-2226400819.739342
149,40055496.153517045,-438807211.398918,-94723678.68110292,-212859595.56708035,261996928.25608003,47859077.33207902,-152950040.15320712,-179307821.23352727,-167301976.44044924
150,-180833955.1871884,-359578846.8809431,-755094561.855353,8480766.52823909,-875366831.5442383,-142130582.76895404,-54360581.15774559,29722370.44391175,-191149750.1620717
151,-101280221.6044464,-941124582.8159138,-1428972954.442314,-648901435.5298089,-4305728576.91059,-66000406.726905525,48949523.6033036,-17724707.595445234,-973120640.7603664
152,-251167866.36682612,-2420827862.180448,-3768702165.7119,166506816.17902413,-716694301.344116,-630942296.8991878,-42340529.34329057,-362470222.8438736,-490078225.3092569
153,11679411.13436006,54113962.4026593,-2070689526.862248,-1955207596.5762856,-43598392.79023255,-949794373.4689327,-216858126.37995943,-538640287.2956909,-398017250.4266026
154,3721484.916667432,-89796460.72888581,-4888197812.300561,-813358463.6001133,-235462212.64485744,68044479.63588129,-2465160.511980456,-1212822244.256101,79484391.80236298
155,-37957297.02518069,20270905.518702783,-874014878.0744528,-545665081.6085737,-11304099.74003695,-67531835.88145408,-633437497.8424498,-167880147.6679893,37359119.04962419
156,-398807887.59451807,-667712157.3858821,-40468362.09069578,-2078772730.9070563,-530927085.23670536,-1773469925.1217902,-143210615.6632234,-147153582.41117293,61523767.789306745
157,-98828300.34779254,-11870575382.58229,-345745692.1400228,-569375078.9480535,-1436765868.465508,-1176780043.239383,-247114903.2072105,-914138143.7452564,-411690378.106006
158,-95494614.41189176,-205752856.2147904,-3898362357.559602,-220250831.47889343,-560008392.5603228,-189744922.100184,101550968.56987736,-165692181.6997055,-151608080.45319095
